Unit,Unit UUID,Quality,Quality UUID
TJ,57c492e7-d94b-4fcc-98df-cdc4163b754c,Energy,f6811440-ee37-11de-8a39-0800200c9a66
tkm,0dea4ed8-bb6b-4049-b2b4-b2c413ef2180,Goods transport (mass*distance),838aaa20-0117-11db-92e3-0800200c9a66
tmi*,a1a47f82-68da-442b-9d9f-f8b1717dbe32,Goods transport (mass*distance),838aaa20-0117-11db-92e3-0800200c9a66
tn.lg,e5ccc940-eb40-41f9-847e-5ee691ba8c2f,Mass,93a60a56-a3c8-11da-a746-0800200b9a66
tn.sh,d4922696-9c95-4b5d-a876-425e98276978,Mass,93a60a56-a3c8-11da-a746-0800200b9a66
TOE,425aff51-b7e5-4561-aa5a-562ec103a79e,Energy,f6811440-ee37-11de-8a39-0800200c9a66
ton,83192ffa-5990-490b-a23a-b45ca072db6f,Mass,93a60a56-a3c8-11da-a746-0800200b9a66
u,9003179a-bf17-4e89-8fd7-a0c1c91ac189,Length,838aaa23-0117-11db-92e3-0800200c9a66
ug,d01259b2-24c2-46af-a7fe-36dd025ead15,Mass,93a60a56-a3c8-11da-a746-0800200b9a66
ul,df6987d7-afcc-4c92-ae2c-3ce3bc6f5578,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
um,9003179a-bf17-4e89-8fd7-a0c1c91ac189,Length,838aaa23-0117-11db-92e3-0800200c9a66
unit,6dabe201-aaac-4509-92f0-d00c26cb72ab,Number of items,01846770-4cfe-4a25-8ad9-919d8d378345
US fl oz,2d64c7e0-1167-42ec-9988-c441c261a35c,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
v*km,19a89180-e40c-4f6b-bcd3-d7347566d1e7,Vehicle transport,ecbe0a5d-f397-4b74-993d-32d231e4bcf9
vkm,19a89180-e40c-4f6b-bcd3-d7347566d1e7,Vehicle transport,ecbe0a5d-f397-4b74-993d-32d231e4bcf9
Wh,fc3604f7-aa93-4aa3-8ae9-8f822874da5f,Energy,f6811440-ee37-11de-8a39-0800200c9a66
yard,a16960ba-31e2-4fe9-82fe-219013f4708f,Length,838aaa23-0117-11db-92e3-0800200c9a66
yd,a16960ba-31e2-4fe9-82fe-219013f4708f,Length,838aaa23-0117-11db-92e3-0800200c9a66
yd2,6c4b1e4a-bf45-4385-a60c-12cc48ecbab5,Area,93a60a56-a3c8-19da-a746-0800200c9a66
yd3,9cd2a2c5-77a2-4b58-b893-b039dfe635ed,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
year,9a87f840-752d-4863-b911-533f92ee5073,Duration,c0447923-0e60-4b3c-97c2-a86dddd9eea5
yr,9a87f840-752d-4863-b911-533f92ee5073,Duration,c0447923-0e60-4b3c-97c2-a86dddd9eea5
µBq,a9736781-d59e-43dc-8584-147b50595c1c,Radioactivity,93a60a56-a3c8-17da-a746-0800200c9a66
µg,d01259b2-24c2-46af-a7fe-36dd025ead15,Mass,93a60a56-a3c8-11da-a746-0800200b9a66
µl,df6987d7-afcc-4c92-ae2c-3ce3bc6f5578,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
µL,df6987d7-afcc-4c92-ae2c-3ce3bc6f5578,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
µm,9003179a-bf17-4e89-8fd7-a0c1c91ac189,Length,838aaa23-0117-11db-92e3-0800200c9a66
USD,3f90ee51-c78b-4b15-a693-e7f320c1e894,Market value US 2007,b0682037-e878-4be4-a63a-a7a81053a691
